,NU_INSCRICAO,NU_NOTA_MT
0,73ff9fcc02f0a99919906c942c2e1a1042cdcf98,436.560056748445
1,71a95f9f1b91a82c65ad94abbdf9f54e6066f968,472.80504278600483
2,b38a03232f43b11c9d0788abaf060f7366053b6d,576.7385230301982
3,70b682d9a3636be23f6120fa9d6b164eb3c6002d,0.0
4,715494628a50142ce8cb17191cfe6d0f3cae0934,534.0152103048132
5,e656d6bad65c93fb2880f1eba5037008c8e75774,470.8588488257112
6,465cd2a6907fb37d9d8ad3c065f0e2dabdba9b13,551.4876616921209
7,11539e86171bf07d3a36f09377d7f54ebcc8406a,434.0057476045559
8,043c544a2104aa8a9849f1a703a08d37a2f16839,478.6382440580121
9,76ba050e64ad100b856f0eaabd8f539d5c7dd185,429.20823035024307
10,8b7c167ea7b55c8168ec60c3851b1b598a8fbd11,0.0
11,db4da599aab5bb08dce27094a35fd3e36cd0abce,0.0
12,940aede382ccb332fab15d413217695ec44ca765,452.84392744884127
13,9ad714b116da76d878dd399d187fccc2dd13dd63,567.4136550339073
14,dd34464a4d780b12a089347ad580418ac57a3055,567.2622513316122
15,f837a4cb05a5fd59d20138182f5e8c721eadd584,494.66691116211325
16,fbfa8cde21a692b51fb86342110b4a334a0fcfdb,0.0
17,ca8477c8493b09f34d17bb287f9bacf2dd744c32,0.0
18,8b0c675d7fde14953668269d378c588f0df0498b,0.0
19,051c4f04fcbe385e1b3964aeb87f0a41d7f203d0,418.56083086086875
20,3d203727f27abd83b71732d88d8cb1cc099f363b,456.2840854747449
21,d30d31c8ff45094e9a992c63d4a6f68b245a341a,0.0
22,c0c6a803c271a955a7085a59cd3d4d43bcf7a1a6,0.0
23,cbc301183dec912f3513ca766bf03dd565f3a38f,478.5581581901935
24,856aa14bcd11bd289a3b970aab0ce1b166f2c50f,689.7431897735244
25,11282da1ee78c8db45a041db4c744e33df489df0,471.94175025410635
26,03c67f683a415c2ea09b582248bd4cb08528c19d,639.9977661127618
27,046e844fb06a07ba30b41521f0065a8d9c6e5024,421.638428630658
28,b296bc595a212a2f89a35470a4bdbb3bfc3f7f1a,457.8891814936118
29,153eebe4d270fe850d2ede7f53cbc81a6f4ddf91,0.0
30,a4e821c6f16fdae0a26cbbb7018b75812dfd074b,0.0
31,f66c2e5ff22a95fa532e78c7c4bf1d145247211d,430.9762871555343
32,17f0dd5abd53dea135ffd020e8e8e0761b3a56aa,600.9452286242271
33,fbbd23fcfb37cf90b8c1f58eafcab62771f3cd71,499.91825694110025
34,a99286ac4fdce6f63b59569b2d8ed85a5c911ea3,494.8811644821362
35,f8d4f9a26c5f2023c33701a8888f9c02513a02c7,468.3870802969392
36,9785b7d9ca2e8dccfe60ecc0cd2abe1ff51906be,473.0343285689928
37,59bfa081e020013410d9f60f91813964ba749bb2,446.6286966806444
38,f5e069ee3bc95998464e8ff5da048b7f999921ed,429.52793747663577
39,e02240b518016d03a1b5bcc6d0a37b7a527ea93d,561.7498134672549
40,664f44258212a1f7e4086f2b4845d586c543fa3f,483.77703407005686
41,265cd7befa74a9f2a198fc57baec9858075f8419,446.00029312913216
42,6f9ac44919bbd204e0ef15185388fd2d4bc61253,464.8758289845463
43,78de1ee60b55766cc3eba4089e36c57139b66ebd,432.7068834933423
44,24550edb10f283ef4e953fd6a8fedbfa211bd456,0.0
45,1e61a474acdc043eb39a89c17fab34bd2ea1a940,413.6859778258657
46,940af68ded6af2875708611051aa7ff3f134d80b,482.9847460429232
47,e7ec3258f3b280c1ddf452d107fbdc9fb5a6b72e,496.1473168151369
48,c76ddf6e9f80984e901b12f9462a3cf029bea290,494.784430407104
49,7d39df837488ca3fa6e512fd9e20ec7753b4c36d,461.6263711669212
50,65bba36aa15f0c4ef3562ea56c125d931bc4ed63,0.0
51,1045c54b5ea9f6e08454ec57c47e4ce0e33190bd,0.0
52,92823d467a2ced9529801e0e8a94802dd88f0c17,433.269348040645
